+ mkdir -p /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs
+ PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
+ /usr/sbin/chroot /data/home/martijnvanmaurik/build/docker/docker-shared/dockerfiles/ubuntu/trusty/rootfs sh -xc 'apt-get update && apt-get dist-upgrade -y'
+ apt-get update
Ign http://archive.ubuntu.com trusty InRelease
Ign http://archive.ubuntu.com trusty-updates InRelease
Ign http://archive.ubuntu.com trusty-security InRelease
Hit http://archive.ubuntu.com trusty Release.gpg
Get:1 http://archive.ubuntu.com trusty-updates Release.gpg [933 B]
Get:2 http://archive.ubuntu.com trusty-security Release.gpg [933 B]
Hit http://archive.ubuntu.com trusty Release
Get:3 http://archive.ubuntu.com trusty-updates Release [63.5 kB]
Get:4 http://archive.ubuntu.com trusty-security Release [63.5 kB]
Get:5 http://archive.ubuntu.com trusty/main amd64 Packages [1743 kB]
Get:6 http://archive.ubuntu.com trusty/universe amd64 Packages [7589 kB]
Get:7 http://archive.ubuntu.com trusty-updates/main amd64 Packages [762 kB]
Get:8 http://archive.ubuntu.com trusty-updates/universe amd64 Packages [401 kB]
Get:9 http://archive.ubuntu.com trusty-security/main amd64 Packages [419 kB]
Get:10 http://archive.ubuntu.com trusty-security/universe amd64 Packages [147 kB]
Fetched 11.2 MB in 12s (924 kB/s)
Reading package lists...
+ apt-get dist-upgrade -y
Reading package lists...
Building dependency tree...
The following packages will be upgraded:
  apt base-files bash bsdutils ca-certificates coreutils cpio dpkg e2fslibs
  e2fsprogs gcc-4.8-base gcc-4.9-base gnupg gpgv ifupdown initramfs-tools
  initramfs-tools-bin initscripts iproute2 libapt-pkg4.12 libblkid1 libc-bin
  libc6 libcgmanager0 libcomerr2 libdbus-1-3 libdrm2 libgcc1 libjson-c2
  libjson0 libmount1 libpcre3 libplymouth2 libprocps3 libpython2.7
  libpython2.7-minimal libpython2.7-stdlib libruby1.9.1 libselinux1 libsepol1
  libsqlite3-0 libss2 libssl1.0.0 libstdc++6 libudev1 libuuid1 libyaml-0-2
  locales login mime-support mount multiarch-support net-tools openssl passwd
  plymouth procps ruby1.9.1 sysv-rc sysvinit-utils tzdata udev upstart
  util-linux
64 upgraded, 0 newly installed, 0 to remove and 0 not upgraded.
Need to get 28.7 MB of archives.
After this operation, 206 kB of additional disk space will be used.
Get:1 http://archive.ubuntu.com/ubuntu/ trusty-updates/main base-files amd64 7.2ubuntu5.3 [60.9 kB]
Get:2 http://archive.ubuntu.com/ubuntu/ trusty-updates/main bash amd64 4.3-7ubuntu1.5 [576 kB]
Get:3 http://archive.ubuntu.com/ubuntu/ trusty-updates/main coreutils amd64 8.21-1ubuntu5.1 [1089 kB]
Get:4 http://archive.ubuntu.com/ubuntu/ trusty-updates/main dpkg amd64 1.17.5ubuntu5.4 [1954 kB]
Get:5 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libpcre3 amd64 1:8.31-2ubuntu2.1 [144 kB]
Get:6 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libselinux1 amd64 2.2.2-1ubuntu0.1 [58.7 kB]
Get:7 http://archive.ubuntu.com/ubuntu/ trusty-updates/main sysv-rc all 2.88dsf-41ubuntu6.2 [36.4 kB]
Get:8 http://archive.ubuntu.com/ubuntu/ trusty-updates/main sysvinit-utils amd64 2.88dsf-41ubuntu6.2 [53.1 kB]
Get:9 http://archive.ubuntu.com/ubuntu/ trusty-updates/main mount amd64 2.20.1-5.1ubuntu20.6 [114 kB]
Get:10 http://archive.ubuntu.com/ubuntu/ trusty-updates/main passwd amd64 1:4.1.5.1-1ubuntu9.1 [755 kB]
Get:11 http://archive.ubuntu.com/ubuntu/ trusty-updates/main initscripts amd64 2.88dsf-41ubuntu6.2 [27.7 kB]
Get:12 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libdbus-1-3 amd64 1.6.18-0ubuntu4.3 [132 kB]
Get:13 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libjson-c2 amd64 0.11-3ubuntu1.2 [22.0 kB]
Get:14 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libuuid1 amd64 2.20.1-5.1ubuntu20.6 [10.9 kB]
Get:15 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libblkid1 amd64 2.20.1-5.1ubuntu20.6 [62.5 kB]
Get:16 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libcgmanager0 amd64 0.24-0ubuntu7.3 [29.2 kB]
Get:17 http://archive.ubuntu.com/ubuntu/ trusty-updates/main tzdata all 2015f-0ubuntu0.14.04 [171 kB]
Get:18 http://archive.ubuntu.com/ubuntu/ trusty-updates/main util-linux amd64 2.20.1-5.1ubuntu20.6 [458 kB]
Get:19 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libprocps3 amd64 1:3.3.9-1ubuntu2.2 [31.4 kB]
Get:20 http://archive.ubuntu.com/ubuntu/ trusty-updates/main procps amd64 1:3.3.9-1ubuntu2.2 [209 kB]
Get:21 http://archive.ubuntu.com/ubuntu/ trusty-updates/main udev amd64 204-5ubuntu20.13 [735 kB]
Get:22 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libudev1 amd64 204-5ubuntu20.13 [33.2 kB]
Get:23 http://archive.ubuntu.com/ubuntu/ trusty-updates/main iproute2 amd64 3.12.0-2ubuntu1 [401 kB]
Get:24 http://archive.ubuntu.com/ubuntu/ trusty-updates/main ifupdown amd64 0.7.47.2ubuntu4.1 [52.1 kB]
Get:25 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libjson0 amd64 0.11-3ubuntu1.2 [1080 B]
Get:26 http://archive.ubuntu.com/ubuntu/ trusty-updates/main upstart amd64 1.12.1-0ubuntu4.2 [390 kB]
Get:27 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libc-bin amd64 2.19-0ubuntu6.6 [1168 kB]
Get:28 http://archive.ubuntu.com/ubuntu/ trusty-updates/main gcc-4.9-base amd64 4.9.1-0ubuntu1 [14.8 kB]
Get:29 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libgcc1 amd64 1:4.9.1-0ubuntu1 [39.2 kB]
Get:30 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libc6 amd64 2.19-0ubuntu6.6 [4735 kB]
Get:31 http://archive.ubuntu.com/ubuntu/ trusty-updates/main e2fslibs amd64 1.42.9-3ubuntu1.2 [183 kB]
Get:32 http://archive.ubuntu.com/ubuntu/ trusty-updates/main e2fsprogs amd64 1.42.9-3ubuntu1.2 [668 kB]
Get:33 http://archive.ubuntu.com/ubuntu/ trusty-updates/main login amd64 1:4.1.5.1-1ubuntu9.1 [301 kB]
Get:34 http://archive.ubuntu.com/ubuntu/ trusty-updates/main gcc-4.8-base amd64 4.8.4-2ubuntu1~14.04 [15.9 kB]
Get:35 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libstdc++6 amd64 4.8.4-2ubuntu1~14.04 [259 kB]
Get:36 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libapt-pkg4.12 amd64 1.0.1ubuntu2.10 [637 kB]
Get:37 http://archive.ubuntu.com/ubuntu/ trusty-updates/main gpgv amd64 1.4.16-1ubuntu2.3 [161 kB]
Get:38 http://archive.ubuntu.com/ubuntu/ trusty-updates/main gnupg amd64 1.4.16-1ubuntu2.3 [611 kB]
Get:39 http://archive.ubuntu.com/ubuntu/ trusty-updates/main apt amd64 1.0.1ubuntu2.10 [952 kB]
Get:40 http://archive.ubuntu.com/ubuntu/ trusty-updates/main bsdutils amd64 1:2.20.1-5.1ubuntu20.6 [33.8 kB]
Get:41 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libcomerr2 amd64 1.42.9-3ubuntu1.2 [62.8 kB]
Get:42 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libmount1 amd64 2.20.1-5.1ubuntu20.6 [60.2 kB]
Get:43 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libsepol1 amd64 2.2-1ubuntu0.1 [107 kB]
Get:44 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libss2 amd64 1.42.9-3ubuntu1.2 [67.1 kB]
Get:45 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libsqlite3-0 amd64 3.8.2-1ubuntu2.1 [342 kB]
Get:46 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libssl1.0.0 amd64 1.0.1f-1ubuntu2.15 [826 kB]
Get:47 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libdrm2 amd64 2.4.60-2~ubuntu14.04.1 [23.5 kB]
Get:48 http://archive.ubuntu.com/ubuntu/ trusty-updates/main initramfs-tools all 0.103ubuntu4.2 [44.3 kB]
Get:49 http://archive.ubuntu.com/ubuntu/ trusty-updates/main initramfs-tools-bin amd64 0.103ubuntu4.2 [8922 B]
Get:50 http://archive.ubuntu.com/ubuntu/ trusty-updates/main cpio amd64 2.11+dfsg-1ubuntu1.1 [73.3 kB]
Get:51 http://archive.ubuntu.com/ubuntu/ trusty-updates/main plymouth amd64 0.8.8-0ubuntu17.1 [98.6 kB]
Get:52 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libplymouth2 amd64 0.8.8-0ubuntu17.1 [76.8 kB]
Get:53 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libpython2.7 amd64 2.7.6-8ubuntu0.2 [1039 kB]
Get:54 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libpython2.7-stdlib amd64 2.7.6-8ubuntu0.2 [1869 kB]
Get:55 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libpython2.7-minimal amd64 2.7.6-8ubuntu0.2 [308 kB]
Get:56 http://archive.ubuntu.com/ubuntu/ trusty-updates/main mime-support all 3.54ubuntu1.1 [29.3 kB]
Get:57 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libyaml-0-2 amd64 0.1.4-3ubuntu3.1 [48.1 kB]
Get:58 http://archive.ubuntu.com/ubuntu/ trusty-updates/main multiarch-support amd64 2.19-0ubuntu6.6 [4486 B]
Get:59 http://archive.ubuntu.com/ubuntu/ trusty-updates/main net-tools amd64 1.60-25ubuntu2.1 [175 kB]
Get:60 http://archive.ubuntu.com/ubuntu/ trusty-updates/main locales all 2.13+git20120306-12.1 [2695 kB]
Get:61 http://archive.ubuntu.com/ubuntu/ trusty-updates/main openssl amd64 1.0.1f-1ubuntu2.15 [489 kB]
Get:62 http://archive.ubuntu.com/ubuntu/ trusty-updates/main ca-certificates all 20141019ubuntu0.14.04.1 [189 kB]
Get:63 http://archive.ubuntu.com/ubuntu/ trusty-updates/main libruby1.9.1 amd64 1.9.3.484-2ubuntu1.2 [2645 kB]
Get:64 http://archive.ubuntu.com/ubuntu/ trusty-updates/main ruby1.9.1 amd64 1.9.3.484-2ubuntu1.2 [35.6 kB]
perl: warning: Setting locale failed.
perl: warning: Please check that your locale settings:
	LANGUAGE = (unset),
	LC_ALL = (unset),
	LC_TIME = "nl_NL.UTF-8",
	LC_MONETARY = "nl_NL.UTF-8",
	LC_ADDRESS = "nl_NL.UTF-8",
	LC_TELEPHONE = "nl_NL.UTF-8",
	LC_NAME = "nl_NL.UTF-8",
	LC_MEASUREMENT = "nl_NL.UTF-8",
	LC_IDENTIFICATION = "nl_NL.UTF-8",
	LC_NUMERIC = "nl_NL.UTF-8",
	LC_PAPER = "nl_NL.UTF-8",
	LANG = "en_US.UTF-8"
    are supported and installed on your system.
perl: warning: Falling back to the standard locale ("C").
debconf: delaying package configuration, since apt-utils is not installed
Fetched 28.7 MB in 41s (686 kB/s)
(Reading database ... 11370 files and directories currently installed.)
Preparing to unpack .../base-files_7.2ubuntu5.3_amd64.deb ...
Unpacking base-files (7.2ubuntu5.3) over (7.2ubuntu5) ...
Setting up base-files (7.2ubuntu5.3) ...
Installing new version of config file /etc/issue ...
Installing new version of config file /etc/issue.net ...
Installing new version of config file /etc/lsb-release ...
Installing new version of config file /etc/os-release ...
(Reading database ... 11370 files and directories currently installed.)
Preparing to unpack .../bash_4.3-7ubuntu1.5_amd64.deb ...
Unpacking bash (4.3-7ubuntu1.5) over (4.3-6ubuntu1) ...
Setting up bash (4.3-7ubuntu1.5) ...
update-alternatives: using /usr/share/man/man7/bash-builtins.7.gz to provide /usr/share/man/man7/builtins.7.gz (builtins.7.gz) in auto mode
(Reading database ... 11370 files and directories currently installed.)
Preparing to unpack .../coreutils_8.21-1ubuntu5.1_amd64.deb ...
Unpacking coreutils (8.21-1ubuntu5.1) over (8.21-1ubuntu5) ...
Setting up coreutils (8.21-1ubuntu5.1) ...
(Reading database ... 11370 files and directories currently installed.)
Preparing to unpack .../dpkg_1.17.5ubuntu5.4_amd64.deb ...
Unpacking dpkg (1.17.5ubuntu5.4) over (1.17.5ubuntu5) ...
Setting up dpkg (1.17.5ubuntu5.4) ...
(Reading database ... 11370 files and directories currently installed.)
Preparing to unpack .../libpcre3_1%3a8.31-2ubuntu2.1_amd64.deb ...
Unpacking libpcre3:amd64 (1:8.31-2ubuntu2.1) over (1:8.31-2ubuntu2) ...
Preparing to unpack .../libc6_2.19-0ubuntu6.6_amd64.deb ...
debconf: unable to initialize frontend: Dialog
debconf: (No usable dialog-like program is installed, so the dialog based frontend cannot be used. at /usr/share/perl5/Debconf/FrontEnd/Dialog.pm line 76.)
debconf: falling back to frontend: Readline
debconf: unable to initialize frontend: Readline
debconf: (Can't locate Term/ReadLine.pm in @INC (you may need to install the Term::ReadLine module) (@INC contains: /etc/perl /usr/local/lib/perl/5.18.2 /usr/local/share/perl/5.18.2 /usr/lib/perl5 /usr/share/perl5 /usr/lib/perl/5.18 /usr/share/perl/5.18 /usr/local/lib/site_perl .) at /usr/share/perl5/Debconf/FrontEnd/Readline.pm line 7.)
debconf: falling back to frontend: Teletype
Unpacking libc6:amd64 (2.19-0ubuntu6.6) over (2.19-0ubuntu6) ...
Preparing to unpack .../libgcc1_1%3a4.9.1-0ubuntu1_amd64.deb ...
Unpacking libgcc1:amd64 (1:4.9.1-0ubuntu1) over (1:4.9-20140406-0ubuntu1) ...
Preparing to unpack .../gcc-4.9-base_4.9.1-0ubuntu1_amd64.deb ...
Unpacking gcc-4.9-base:amd64 (4.9.1-0ubuntu1) over (4.9-20140406-0ubuntu1) ...
Setting up gcc-4.9-base:amd64 (4.9.1-0ubuntu1) ...
Setting up libgcc1:amd64 (1:4.9.1-0ubuntu1) ...
Setting up libc6:amd64 (2.19-0ubuntu6.6) ...
debconf: unable to initialize frontend: Dialog
debconf: (No usable dialog-like program is installed, so the dialog based frontend cannot be used. at /usr/share/perl5/Debconf/FrontEnd/Dialog.pm line 76.)
debconf: falling back to frontend: Readline
debconf: unable to initialize frontend: Readline
debconf: (Can't locate Term/ReadLine.pm in @INC (you may need to install the Term::ReadLine module) (@INC contains: /etc/perl /usr/local/lib/perl/5.18.2 /usr/local/share/perl/5.18.2 /usr/lib/perl5 /usr/share/perl5 /usr/lib/perl/5.18 /usr/share/perl/5.18 /usr/local/lib/site_perl .) at /usr/share/perl5/Debconf/FrontEnd/Readline.pm line 7.)
debconf: falling back to frontend: Teletype
Setting up libpcre3:amd64 (1:8.31-2ubuntu2.1) ...
Processing triggers for libc-bin (2.19-0ubuntu6) ...
(Reading database ... 11370 files and directories currently installed.)
Preparing to unpack .../libselinux1_2.2.2-1ubuntu0.1_amd64.deb ...
Unpacking libselinux1:amd64 (2.2.2-1ubuntu0.1) over (2.2.2-1) ...
Setting up libselinux1:amd64 (2.2.2-1ubuntu0.1) ...
Processing triggers for libc-bin (2.19-0ubuntu6) ...
(Reading database ... 11370 files and directories currently installed.)
Preparing to unpack .../sysv-rc_2.88dsf-41ubuntu6.2_all.deb ...
Unpacking sysv-rc (2.88dsf-41ubuntu6.2) over (2.88dsf-41ubuntu6) ...
Preparing to unpack .../sysvinit-utils_2.88dsf-41ubuntu6.2_amd64.deb ...
Unpacking sysvinit-utils (2.88dsf-41ubuntu6.2) over (2.88dsf-41ubuntu6) ...
Setting up sysvinit-utils (2.88dsf-41ubuntu6.2) ...
Setting up sysv-rc (2.88dsf-41ubuntu6.2) ...
(Reading database ... 11370 files and directories currently installed.)
Preparing to unpack .../mount_2.20.1-5.1ubuntu20.6_amd64.deb ...
Unpacking mount (2.20.1-5.1ubuntu20.6) over (2.20.1-5.1ubuntu20) ...
Setting up mount (2.20.1-5.1ubuntu20.6) ...
(Reading database ... 11370 files and directories currently installed.)
Preparing to unpack .../passwd_1%3a4.1.5.1-1ubuntu9.1_amd64.deb ...
Unpacking passwd (1:4.1.5.1-1ubuntu9.1) over (1:4.1.5.1-1ubuntu9) ...
Setting up passwd (1:4.1.5.1-1ubuntu9.1) ...
(Reading database ... 11370 files and directories currently installed.)
Preparing to unpack .../initscripts_2.88dsf-41ubuntu6.2_amd64.deb ...
Unpacking initscripts (2.88dsf-41ubuntu6.2) over (2.88dsf-41ubuntu6) ...
Preparing to unpack .../libdbus-1-3_1.6.18-0ubuntu4.3_amd64.deb ...
Unpacking libdbus-1-3:amd64 (1.6.18-0ubuntu4.3) over (1.6.18-0ubuntu4) ...
Preparing to unpack .../libjson-c2_0.11-3ubuntu1.2_amd64.deb ...
Unpacking libjson-c2:amd64 (0.11-3ubuntu1.2) over (0.11-3ubuntu1) ...
Preparing to unpack .../libuuid1_2.20.1-5.1ubuntu20.6_amd64.deb ...
Unpacking libuuid1:amd64 (2.20.1-5.1ubuntu20.6) over (2.20.1-5.1ubuntu20) ...
Setting up libuuid1:amd64 (2.20.1-5.1ubuntu20.6) ...
Processing triggers for libc-bin (2.19-0ubuntu6) ...
(Reading database ... 11370 files and directories currently installed.)
Preparing to unpack .../libblkid1_2.20.1-5.1ubuntu20.6_amd64.deb ...
Unpacking libblkid1:amd64 (2.20.1-5.1ubuntu20.6) over (2.20.1-5.1ubuntu20) ...
Setting up libblkid1:amd64 (2.20.1-5.1ubuntu20.6) ...
Processing triggers for libc-bin (2.19-0ubuntu6) ...
(Reading database ... 11370 files and directories currently installed.)
Preparing to unpack .../libcgmanager0_0.24-0ubuntu7.3_amd64.deb ...
Unpacking libcgmanager0:amd64 (0.24-0ubuntu7.3) over (0.24-0ubuntu5) ...
Preparing to unpack .../tzdata_2015f-0ubuntu0.14.04_all.deb ...
Unpacking tzdata (2015f-0ubuntu0.14.04) over (2014b-1) ...
Setting up tzdata (2015f-0ubuntu0.14.04) ...
debconf: unable to initialize frontend: Dialog
debconf: (No usable dialog-like program is installed, so the dialog based frontend cannot be used. at /usr/share/perl5/Debconf/FrontEnd/Dialog.pm line 76.)
debconf: falling back to frontend: Readline
debconf: unable to initialize frontend: Readline
debconf: (Can't locate Term/ReadLine.pm in @INC (you may need to install the Term::ReadLine module) (@INC contains: /etc/perl /usr/local/lib/perl/5.18.2 /usr/local/share/perl/5.18.2 /usr/lib/perl5 /usr/share/perl5 /usr/lib/perl/5.18 /usr/share/perl/5.18 /usr/local/lib/site_perl .) at /usr/share/perl5/Debconf/FrontEnd/Readline.pm line 7.)
debconf: falling back to frontend: Teletype

Current default time zone: 'Etc/UTC'
Local time is now:      Wed Aug 19 20:31:55 UTC 2015.
Universal Time is now:  Wed Aug 19 20:31:55 UTC 2015.
Run 'dpkg-reconfigure tzdata' if you wish to change it.

(Reading database ... 11379 files and directories currently installed.)
Preparing to unpack .../util-linux_2.20.1-5.1ubuntu20.6_amd64.deb ...
Unpacking util-linux (2.20.1-5.1ubuntu20.6) over (2.20.1-5.1ubuntu20) ...
Processing triggers for mime-support (3.54ubuntu1) ...
Setting up util-linux (2.20.1-5.1ubuntu20.6) ...
(Reading database ... 11379 files and directories currently installed.)
Preparing to unpack .../libprocps3_1%3a3.3.9-1ubuntu2.2_amd64.deb ...
Unpacking libprocps3:amd64 (1:3.3.9-1ubuntu2.2) over (1:3.3.9-1ubuntu2) ...
Preparing to unpack .../procps_1%3a3.3.9-1ubuntu2.2_amd64.deb ...
invoke-rc.d: policy-rc.d denied execution of stop.
Unpacking procps (1:3.3.9-1ubuntu2.2) over (1:3.3.9-1ubuntu2) ...
Preparing to unpack .../udev_204-5ubuntu20.13_amd64.deb ...
Adding 'diversion of /bin/udevadm to /bin/udevadm.upgrade by fake-udev'
Unpacking udev (204-5ubuntu20.13) over (204-5ubuntu20) ...
Preparing to unpack .../libudev1_204-5ubuntu20.13_amd64.deb ...
Unpacking libudev1:amd64 (204-5ubuntu20.13) over (204-5ubuntu20) ...
Preparing to unpack .../iproute2_3.12.0-2ubuntu1_amd64.deb ...
Unpacking iproute2 (3.12.0-2ubuntu1) over (3.12.0-2) ...
Preparing to unpack .../ifupdown_0.7.47.2ubuntu4.1_amd64.deb ...
Unpacking ifupdown (0.7.47.2ubuntu4.1) over (0.7.47.2ubuntu4) ...
Preparing to unpack .../libjson0_0.11-3ubuntu1.2_amd64.deb ...
Unpacking libjson0:amd64 (0.11-3ubuntu1.2) over (0.11-3ubuntu1) ...
Preparing to unpack .../upstart_1.12.1-0ubuntu4.2_amd64.deb ...
Unpacking upstart (1.12.1-0ubuntu4.2) over (1.12.1-0ubuntu4) ...
Preparing to unpack .../libc-bin_2.19-0ubuntu6.6_amd64.deb ...
Unpacking libc-bin (2.19-0ubuntu6.6) over (2.19-0ubuntu6) ...
Setting up libc-bin (2.19-0ubuntu6.6) ...
(Reading database ... 11381 files and directories currently installed.)
Preparing to unpack .../e2fslibs_1.42.9-3ubuntu1.2_amd64.deb ...
Unpacking e2fslibs:amd64 (1.42.9-3ubuntu1.2) over (1.42.9-3ubuntu1) ...
Setting up e2fslibs:amd64 (1.42.9-3ubuntu1.2) ...
Processing triggers for libc-bin (2.19-0ubuntu6.6) ...
(Reading database ... 11381 files and directories currently installed.)
Preparing to unpack .../e2fsprogs_1.42.9-3ubuntu1.2_amd64.deb ...
Unpacking e2fsprogs (1.42.9-3ubuntu1.2) over (1.42.9-3ubuntu1) ...
Setting up e2fsprogs (1.42.9-3ubuntu1.2) ...
(Reading database ... 11381 files and directories currently installed.)
Preparing to unpack .../login_1%3a4.1.5.1-1ubuntu9.1_amd64.deb ...
Unpacking login (1:4.1.5.1-1ubuntu9.1) over (1:4.1.5.1-1ubuntu9) ...
Setting up login (1:4.1.5.1-1ubuntu9.1) ...
(Reading database ... 11381 files and directories currently installed.)
Preparing to unpack .../gcc-4.8-base_4.8.4-2ubuntu1~14.04_amd64.deb ...
Unpacking gcc-4.8-base:amd64 (4.8.4-2ubuntu1~14.04) over (4.8.2-19ubuntu1) ...
Setting up gcc-4.8-base:amd64 (4.8.4-2ubuntu1~14.04) ...
(Reading database ... 11381 files and directories currently installed.)
Preparing to unpack .../libstdc++6_4.8.4-2ubuntu1~14.04_amd64.deb ...
Unpacking libstdc++6:amd64 (4.8.4-2ubuntu1~14.04) over (4.8.2-19ubuntu1) ...
Setting up libstdc++6:amd64 (4.8.4-2ubuntu1~14.04) ...
Processing triggers for libc-bin (2.19-0ubuntu6.6) ...
(Reading database ... 11394 files and directories currently installed.)
Preparing to unpack .../libapt-pkg4.12_1.0.1ubuntu2.10_amd64.deb ...
Unpacking libapt-pkg4.12:amd64 (1.0.1ubuntu2.10) over (1.0.1ubuntu2) ...
Setting up libapt-pkg4.12:amd64 (1.0.1ubuntu2.10) ...
Processing triggers for libc-bin (2.19-0ubuntu6.6) ...
(Reading database ... 11394 files and directories currently installed.)
Preparing to unpack .../gpgv_1.4.16-1ubuntu2.3_amd64.deb ...
Unpacking gpgv (1.4.16-1ubuntu2.3) over (1.4.16-1ubuntu2) ...
Setting up gpgv (1.4.16-1ubuntu2.3) ...
(Reading database ... 11394 files and directories currently installed.)
Preparing to unpack .../gnupg_1.4.16-1ubuntu2.3_amd64.deb ...
Unpacking gnupg (1.4.16-1ubuntu2.3) over (1.4.16-1ubuntu2) ...
Setting up gnupg (1.4.16-1ubuntu2.3) ...
(Reading database ... 11394 files and directories currently installed.)
Preparing to unpack .../apt_1.0.1ubuntu2.10_amd64.deb ...
Unpacking apt (1.0.1ubuntu2.10) over (1.0.1ubuntu2) ...
Setting up apt (1.0.1ubuntu2.10) ...
Processing triggers for libc-bin (2.19-0ubuntu6.6) ...
(Reading database ... 11394 files and directories currently installed.)
Preparing to unpack .../bsdutils_1%3a2.20.1-5.1ubuntu20.6_amd64.deb ...
Unpacking bsdutils (1:2.20.1-5.1ubuntu20.6) over (1:2.20.1-5.1ubuntu20) ...
Setting up bsdutils (1:2.20.1-5.1ubuntu20.6) ...
(Reading database ... 11394 files and directories currently installed.)
Preparing to unpack .../libcomerr2_1.42.9-3ubuntu1.2_amd64.deb ...
Unpacking libcomerr2:amd64 (1.42.9-3ubuntu1.2) over (1.42.9-3ubuntu1) ...
Setting up libcomerr2:amd64 (1.42.9-3ubuntu1.2) ...
Processing triggers for libc-bin (2.19-0ubuntu6.6) ...
(Reading database ... 11394 files and directories currently installed.)
Preparing to unpack .../libmount1_2.20.1-5.1ubuntu20.6_amd64.deb ...
Unpacking libmount1:amd64 (2.20.1-5.1ubuntu20.6) over (2.20.1-5.1ubuntu20) ...
Setting up libmount1:amd64 (2.20.1-5.1ubuntu20.6) ...
Processing triggers for libc-bin (2.19-0ubuntu6.6) ...
(Reading database ... 11394 files and directories currently installed.)
Preparing to unpack .../libsepol1_2.2-1ubuntu0.1_amd64.deb ...
Unpacking libsepol1:amd64 (2.2-1ubuntu0.1) over (2.2-1) ...
Setting up libsepol1:amd64 (2.2-1ubuntu0.1) ...
Processing triggers for libc-bin (2.19-0ubuntu6.6) ...
(Reading database ... 11394 files and directories currently installed.)
Preparing to unpack .../libss2_1.42.9-3ubuntu1.2_amd64.deb ...
Unpacking libss2:amd64 (1.42.9-3ubuntu1.2) over (1.42.9-3ubuntu1) ...
Setting up libss2:amd64 (1.42.9-3ubuntu1.2) ...
Processing triggers for libc-bin (2.19-0ubuntu6.6) ...
(Reading database ... 11394 files and directories currently installed.)
Preparing to unpack .../libsqlite3-0_3.8.2-1ubuntu2.1_amd64.deb ...
Unpacking libsqlite3-0:amd64 (3.8.2-1ubuntu2.1) over (3.8.2-1ubuntu2) ...
Preparing to unpack .../libssl1.0.0_1.0.1f-1ubuntu2.15_amd64.deb ...
Unpacking libssl1.0.0:amd64 (1.0.1f-1ubuntu2.15) over (1.0.1f-1ubuntu2) ...
Preparing to unpack .../libdrm2_2.4.60-2~ubuntu14.04.1_amd64.deb ...
Unpacking libdrm2:amd64 (2.4.60-2~ubuntu14.04.1) over (2.4.52-1) ...
Preparing to unpack .../initramfs-tools_0.103ubuntu4.2_all.deb ...
Unpacking initramfs-tools (0.103ubuntu4.2) over (0.103ubuntu4) ...
Preparing to unpack .../initramfs-tools-bin_0.103ubuntu4.2_amd64.deb ...
Unpacking initramfs-tools-bin (0.103ubuntu4.2) over (0.103ubuntu4) ...
Preparing to unpack .../cpio_2.11+dfsg-1ubuntu1.1_amd64.deb ...
Unpacking cpio (2.11+dfsg-1ubuntu1.1) over (2.11+dfsg-1ubuntu1) ...
Preparing to unpack .../plymouth_0.8.8-0ubuntu17.1_amd64.deb ...
Unpacking plymouth (0.8.8-0ubuntu17.1) over (0.8.8-0ubuntu17) ...
Preparing to unpack .../libplymouth2_0.8.8-0ubuntu17.1_amd64.deb ...
Unpacking libplymouth2:amd64 (0.8.8-0ubuntu17.1) over (0.8.8-0ubuntu17) ...
Preparing to unpack .../libpython2.7_2.7.6-8ubuntu0.2_amd64.deb ...
Unpacking libpython2.7:amd64 (2.7.6-8ubuntu0.2) over (2.7.6-8) ...
Preparing to unpack .../libpython2.7-stdlib_2.7.6-8ubuntu0.2_amd64.deb ...
Unpacking libpython2.7-stdlib:amd64 (2.7.6-8ubuntu0.2) over (2.7.6-8) ...
Preparing to unpack .../libpython2.7-minimal_2.7.6-8ubuntu0.2_amd64.deb ...
